name,type,label
YEAR,Numeric,year
MONTH,Numeric,month
DATE,Numeric,day-of-year
STARTIME,Numeric,starting time
ENDTIME,Numeric,ending time
TRANSECT,Numeric,transect
OBSERVER1,Numeric,observer 1 code
OBSERVER2,Numeric,observer 2 code
OBSERVER3,Numeric,observer 3 code
GRD,Numeric,"ground segment status (1 = air over ground, 2 = ground, 4 = air only)"
WETYPE,Numeric,wetland class
SP1,Numeric,species code 1
PR1,Numeric,pairs; spp 1
LM1,Numeric,lone males (2-4); spp 1
FM1,Numeric,flocked males (5+); spp 1
LH1,Numeric,lone hens; spp 1
US1,Numeric,unidentified sexes; spp 1
SP2,Numeric,species; code 2
PR2,Numeric,pairs; spp 2
LM2,Numeric,lone males (2-4); spp 2
FM2,Numeric,flocked males (5+); spp 2
LH2,Numeric,lone hens; spp 2
US2,Numeric,unidentified sexes; spp 2
SP3,Numeric,species code 3
PR3,Numeric,pairs; spp 3
LM3,Numeric,lone males (2-4); spp 3
FM3,Numeric,flocked males (5+); spp 3
LH3,Numeric,lone hens; spp 3
US3,Numeric,unidentified sexes; spp 3
SP4,Numeric,species code 4
PR4,Numeric,pairs; spp 4
LM4,Numeric,lone males (2-4); spp 4
FM4,Numeric,flocked males (5+); spp 4
LH4,Numeric,lone hens; spp 4
US4,Numeric,unidentified sexes; spp 4
SP5,Numeric,species code 5
PR5,Numeric,pairs; spp 5
LM5,Numeric,lone males (2-4); spp 5
FM5,Numeric,flocked males (5+); spp 5
LH5,Numeric,lone hens; spp 5
US5,Numeric,unidentified sexes; spp 5
SP6,Numeric,species code 6
PR6,Numeric,pairs; spp 6
LM6,Numeric,lone males (2-4); spp 6
FM6,Numeric,flocked males (5+); spp 6
LH6,Numeric,lone hens; spp 6
US6,Numeric,unidentified sexes; spp 6
SP7,Numeric,species code 7
PR7,Numeric,pairs; spp 7
LM7,Numeric,lone males (2-4); spp 7
FM7,Numeric,flocked males (5+); spp 7
LH7,Numeric,lone hens; spp 7
US7,Numeric,unidentified sexes; spp 7
SP8,Numeric,species code 8
PR8,Numeric,pairs; spp 8
LM8,Numeric,lone males (2-4); spp 8
FM8,Numeric,flocked males (5+); spp 8
LH8,Numeric,lone hens; spp 8
US8,Numeric,unidentified sexes; spp 8
SP9,Numeric,species code 9
PR9,Numeric,pairs; spp 9
LM9,Numeric,lone males (2-4); spp 9
FM9,Numeric,flocked males (5+); spp 9
LH9,Numeric,lone hens; spp 9
US9,Numeric,unidentified sexes; spp 9
UPR,Numeric,unidentified spp pairs
ULM,Numeric,unidentified spp lone males (2-4)
UFM,Numeric,unidentified spp flocked males (5+)
ULH,Numeric,unidentified spp lone hens
UUS,Numeric,unidentified spp unidentified sexes
COOTS,Numeric,coots
BRSP,Numeric,brood species code
BRYG,Numeric,number of young in brood
DIRECT,Character,direction of flight
SIDE,Character,side of plane observer is on (N or S)
